term,estimate,std.error,statistic,p.value,Model
COUNTY.xRiverside,-2.3294770997121325e-4,1.5523583849774128e-4,-1.500605222515049,0.1334626920920412,Log Intensity
COUNTY.xSacramento,-1.0395770693655805e-4,7.234237055294677e-5,-1.4370237820790277,0.1507161834497392,Log Intensity
COUNTY.xSan Benito,-5.081982624465887e-7,4.763692331893267e-6,-0.10668158794474705,0.9150419283204787,Log Intensity
COUNTY.xSan Bernardino,-2.642410155886729e-4,1.7725353230245916e-4,-1.4907517619326276,0.13603166825767393,Log Intensity
COUNTY.xSan Diego,-1.835868224113174e-4,1.2083827894526088e-4,-1.5192770371587407,0.1286977763704859,Log Intensity
COUNTY.xSan Joaquin,-9.698753137273016e-5,6.71449832252552e-5,-1.4444494095316165,0.14861755501681936,Log Intensity
COUNTY.xSan Luis Obispo,6.169483028921212e-5,4.635396605123299e-5,1.330950413628546,0.18321012577788853,Log Intensity
COUNTY.xSan Mateo,6.78937741878362e-5,4.7428296967783325e-5,1.4315035227588815,0.15229089990222996,Log Intensity
COUNTY.xSanta Barbara,5.20994689107851e-5,4.157447343051118e-5,1.253160042973622,0.21015210146369628,Log Intensity
COUNTY.xSanta Clara,2.9364635647668546e-5,2.1390535237720224e-5,1.3727863899303807,0.16982363095225864,Log Intensity
COUNTY.xSanta Cruz,5.458154527050904e-5,3.8844078911939486e-5,1.4051445368095044,0.1599832149534617,Log Intensity
COUNTY.xShasta,-2.977186774717088e-4,2.094857164113148e-4,-1.42118843504897,0.15526691675928497,Log Intensity
COUNTY.xSierra,-3.234039190297211e-4,2.2526273995817343e-4,-1.4356742668129243,0.15109999695611975,Log Intensity
COUNTY.xSiskiyou,-4.954513451350455e-4,3.252111611931599e-4,-1.5234758343388193,0.1276447023694579,Log Intensity
COUNTY.xSolano,-8.897456392480731e-5,6.205331644580143e-5,-1.4338405909782344,0.1516227027461407,Log Intensity
COUNTY.xSonoma,1.947924355694229e-5,1.2881649517450731e-5,1.5121699694246313,0.13049562546143925,Log Intensity
COUNTY.xStanislaus,-1.1611795658117882e-4,7.981390732334015e-5,-1.4548586891099642,0.145713349820661,Log Intensity
COUNTY.xSutter,-1.5026496669732478e-4,1.0528450015207102e-4,-1.427227811124,0.15351917802024287,Log Intensity
COUNTY.xTehama,-2.328456757429919e-4,1.639527596516282e-4,-1.4201997955859325,0.15555445294499806,Log Intensity
COUNTY.xTrinity,-1.3864088920577844e-4,1.0004566579452206e-4,-1.385776066406763,0.1658201794033023,Log Intensity
COUNTY.xTulare,-2.2394160874407266e-4,1.5219548742587523e-4,-1.4714076779256706,0.14118587410349456,Log Intensity
